date,co,no,no2,o3,so2,pm2_5,pm10,nh3,Net_AQI
27-11-2020 19:00,0.07318632,9.99E-05,0.119801026,0.035264452,0.034425145,0.081715067,0.085924312,0.048406714,323.5934884
27-11-2020 20:00,0.054650132,0,0.081496253,0.049994383,0.023234362,0.071410043,0.072337661,0.033881225,310.1786047
27-11-2020 21:00,0.046340708,0,0.061971337,0.057147137,0.019492499,0.067365852,0.066449771,0.02707023,304.9139535
27-11-2020 22:00,0.043145144,0,0.052197923,0.059818497,0.017839117,0.06632238,0.064112008,0.022900233,303.5555814
27-11-2020 23:00,0.042505552,0,0.047705658,0.062502341,0.017839117,0.067530921,0.064388243,0.021579734,305.1288372
28-11-2020 00:00,0.044423369,0,0.048450717,0.065173701,0.021163284,0.073768172,0.069800395,0.022656983,313.2483721
28-11-2020 01:00,0.052093681,0,0.061226279,0.064287408,0.030700686,0.086295733,0.082404878,0.029050978,329.5565116
28-11-2020 02:00,0.068712051,0.000199728,0.094271815,0.047323022,0.045633332,0.102437126,0.100462437,0.043124718,350.5690698
28-11-2020 03:00,0.078299701,0.008708157,0.107792435,0.040182751,0.058077204,0.109658897,0.109000133,0.054592209,359.9702326
28-11-2020 04:00,0.077021476,0.020312375,0.091269667,0.059818497,0.071356469,0.106504899,0.106033169,0.064252702,355.8644186
28-11-2020 05:00,0.071908094,0.020312375,0.083008283,0.089290841,0.082982352,0.102967705,0.102493273,0.070438197,351.2597674
28-11-2020 06:00,0.06359867,0.01450028,0.073234869,0.132144953,0.092102057,0.095969957,0.094282967,0.06602495,342.1502326
28-11-2020 07:00,0.037392171,0.007150276,0.042446422,0.174999064,0.073027255,0.058027661,0.055942625,0.04048372,266.7496552
28-11-2020 08:00,0.029082746,0.005133019,0.033812508,0.192862225,0.063072157,0.047722637,0.045450825,0.035653473,207.0765517
28-11-2020 09:00,0.029082746,0.00429416,0.036069597,0.207142768,0.068867695,0.050139719,0.047543047,0.038746221,221.0731034
28-11-2020 10:00,0.070629868,0.01260286,0.119801026,0.153565767,0.085471127,0.075872803,0.077304769,0.071306947,315.9881395
28-11-2020 11:00,0.137104785,0.029459934,0.245978875,0.061603565,0.09709701,0.113414217,0.120596871,0.10650867,364.8588372
28-11-2020 12:00,0.192074235,0.083925861,0.315072095,0.003957108,0.100403773,0.141075071,0.152215504,0.13382215,401.13
28-11-2020 13:00,0.243209007,0.151793561,0.32107639,0,0.107052108,0.17339323,0.187875347,0.170761372,455.95
28-11-2020 14:00,0.263662533,0.13749301,0.32107639,0,0.108705489,0.200246424,0.217371065,0.193661605,413.9130435
